typ;bereich;titel;dauer;orgasmus
Aufgabe;Anal;Plug tragen;WAHR;WAHR
Aufgabe;Anal;Fickmaschine nutzen;WAHR;WAHR
Aufgabe;Sperma;in die Hand wichsen und ablecken;FALSCH;WAHR
Aufgabe;Dirty;Morgenkaffee mit NS trinken;FALSCH;WAHR
Aufgabe;Restriktion;Knebel tragen;WAHR;WAHR
Aufgabe;SM;10 Schläge (nach Wahl);FALSCH;FALSCH
Aufgabe;Humiliation;Finalgon in deine Hände und damit wichsen;WAHR;FALSCH
Kleidung;Fetisch;Maske tragen;WAHR;FALSCH
Kleidung;Fetisch;Cockring tragen;WAHR;FALSCH
Kleidung;Unterwäsche;String tragen;WAHR;FALSCH
Kleidung;Unterwäsche;Jock tragen;WAHR;FALSCH
Kleidung;Dress;Rock tragen;WAHR;FALSCH
Kleidung;Dress;Kleid tragen;WAHR;FALSCH
Aufgabe;Anal;von mir gefickt werden;WAHR;WAHR
Aufgabe;Anal;Tunnelplug einsetzen;WAHR;WAHR
Aufgabe;Anal;Fisttraining mit Herrin;WAHR;WAHR
Aufgabe;Anal;Dildo 5cm;WAHR;WAHR
Aufgabe;Anal;Dildo 6Cm;WAHR;WAHR
Aufgabe;Anal;Dildo 7cm;WAHR;WAHR
Aufgabe;Anal;Dildo 8cm;WAHR;WAHR
Aufgabe;Anal;Analkugeln tragen;WAHR;WAHR
Aufgabe;Dirty;Windel nutzen;FALSCH;WAHR
Aufgabe;Dirty;Nach Toilettengang nicht säubern;FALSCH;WAHR
Aufgabe;Dirty;bei jedem pissen NS abfüllen und trinken;FALSCH;WAHR
Aufgabe;Dirty;in die Hose machen;FALSCH;WAHR
Aufgabe;Dirty;den ganzen Tag Ente nutzen;FALSCH;WAHR
Aufgabe;Dirty;Urin-Gesichtsmaske machen;FALSCH;WAHR
Aufgabe;Dirty;Urin Haarkur (trocknen und drin lassen);FALSCH;WAHR
Aufgabe;Sperma;Sperma Maske - im Gesicht vereiben und trocknen lassen;FALSCH;WAHR
Aufgabe;Sperma;sperma Handcreme - verreiben und trocken lassen;FALSCH;WAHR
Aufgabe;Sperma;Sperma Cocktail;FALSCH;WAHR
Aufgabe;Sperma;Sperma Essen;FALSCH;WAHR
Aufgabe;Sperma;in Hose wichsen und anlassen;FALSCH;WAHR
Aufgabe;Sperma;auf Körper wichsen und trocknen lassen (Bauch, Beine);FALSCH;WAHR
Aufgabe;Sperma;auf eigene Kleidung wichsen und tragen;FALSCH;WAHR
Aufgabe;Sperma;auf Kopfkissen wichsen, nicht umdrehen, drauf schlafen;FALSCH;WAHR
Aufgabe;Dirty;Einlauf machen;FALSCH;WAHR
Aufgabe;Dirty;gründliche Analspülung machen;FALSCH;WAHR
Aufgabe;Dirty;Darmpülung machen (tief);FALSCH;WAHR
Aufgabe;Dirty;nur mit Errektion pissen;FALSCH;WAHR
Aufgabe;Dirty;nur Hock WC nutzen, keine zusätzliche Reinigung im Dusch WC;FALSCH;WAHR
Aufgabe;Dirty;Toilette Outdoor hockend;FALSCH;WAHR
Aufgabe;Dirty;Toilette Outdoor stehend;FALSCH;WAHR
Aufgabe;Dirty;Toilette outddor nackt, freihändig, keine Reinigung;FALSCH;WAHR
Aufgabe;Dirty;piss dich selbst an (liegend, Dusche, WC o.ä.);FALSCH;WAHR
Aufgabe;Dirty;Ass2Mouth Nutze einen Dildo, der tiefer in dich eindringt und wechsel zwischen Arsch und Mund;WAHR;WAHR
Aufgabe;Anal;Prostata Massage bekommen;WAHR;WAHR
Aufgabe;SM;Post Cum Torture (durch Herrin oder Mitspieler);WAHR;WAHR
Kleidung;Fetisch;Zwangsjacke tragen;WAHR;WAHR
Aufgabe;SM;Gagging Traininig (Dildo in den Hals bis Grenze);WAHR;WAHR
Aufgabe;Humiliation;Gummipuppe nutzen;WAHR;WAHR
Aufgabe;Humiliation;im freien wichsen;WAHR;WAHR
Aufgabe;Restriktion;App Spielzeug nutzen;WAHR;WAHR
Aufgabe;Dirty;KV Training ;WAHR;WAHR
Aufgabe;Sperma;im Kondom kommen und austrinken;WAHR;WAHR
Aufgabe;SM;Nippelklemmen Tragen;FALSCH;FALSCH
Aufgabe;SM;Humbler tragen;FALSCH;FALSCH
Aufgabe;SM;Ball Crusher tragen;FALSCH;FALSCH
Kleidung;Dress;Leggins tragen;WAHR;FALSCH
Kleidung;Dress;Transparente Kleidung;WAHR;FALSCH
Aufgabe;Humiliation;aus einem Napf essen;WAHR;FALSCH
Kleidung;Unterwäsche;ohne Unterwäsche;WAHR;FALSCH
Kleidung;Unterwäsche;Overt Unterwäsche tragen;WAHR;FALSCH
Kleidung;Unterwäsche;besonders feminine Unterwäsche tragen;WAHR;FALSCH
Kleidung;Unterwäsche;PVC Unterwäsche tragen;WAHR;FALSCH
Kleidung;Dress;keine (komplett nackt, bis auf Schuhe);WAHR;FALSCH
Kleidung;Dress;Heels tragen ;WAHR;FALSCH
Aufgabe;Erregung;Bei jeder Erinnerung wichsen bis zur Erregung;WAHR;FALSCH
Aufgabe;Outdoor;heute nur draußen pissen;WAHR;FALSCH
Aufgabe;Outdoor;Outdoor wichsen;WAHR;FALSCH
Aufgabe;Sperma;"Sperma auf Lippen auftragen und ""X"" Min einwirken lassen (als „Lipgloss“)";WAHR;FALSCH
Aufgabe;Training;Prostatamassage mit Finger;WAHR;FALSCH
Aufgabe;Dirty;NS in Glas sammeln und als „Tee“ trinken (150–250 ml);WAHR;FALSCH
Aufgabe;Sperma;Sperma in Socken/Strümpfe reiben und den ganzen Tag tragen;WAHR;FALSCH
Aufgabe;Sperma;Sperma-Maske: Saft auf Gesicht schmieren, 20 Min trocknen lassen, dann abwaschen;WAHR;FALSCH
Aufgabe;Training;High Heels laufen + Pose vor Spiegel (Affirmation laut: ich fühle meine feminine Seite);WAHR;FALSCH
Aufgabe;Restriktion;Knebel 30 Min tragen während Edge-Session (Sabbern erlaubt);WAHR;FALSCH
Aufgabe;Outdoor;Plug tragen + kurzer Spaziergang;WAHR;FALSCH
Aufgabe;Training;Morgen-Ritual: 200 ml NS trinken + Affirmation laut (Pisse macht mich geil);WAHR;FALSCH
Aufgabe;Erregung;Abend-Ritual im Bett: Edge ohne Kommen;WAHR;FALSCH
Aufgabe;Dirty;NS in Strümpfe gießen und 2–3 Stunden tragen (dann ausziehen und trocknen lassen, abends wieder anziehen);WAHR;FALSCH
Aufgabe;Dirty;NS in Bart-/Kinnhaar reiben und 1 Stunde einwirken lassen;WAHR;FALSCH
Aufgabe;Humiliation;Tunnel Plug + String unter Alltagsklamotten bei Einkauf;WAHR;FALSCH
Aufgabe;Training;"""X"" Mal Edge vor Spiegel + Affirmation: „Ich komme nur, wenn Anja es will“";WAHR;FALSCH
Aufgabe;Training;"Deeptroath Training: Nimm einen Plug, der lang genug ist, dass er an deine Würgegrenze kommt, führe ihn, bis zu seinem Fuß ein und behalte das mindestens ""X"" Min. bei";;
Aufgabe ;Training;"Deeptroath Training 2: Trainiere mit einem Dildo mind, ""x"" Min. die möglichst tiefe Aufnahme ";;
Aufgabe;Sperma;Haargel: Wichse in deine Hände und nutze Sperma als Pomade;WAHR;FALSCH
Aufgabe;Erregung;"Nimm ein Dilator und wichse ""X"" mal bis kurz vorm kommen und brich dann ab. Dilator rausziehen und ablecken!";WAHR;FALSCH
Aufgabe;Dirty;"Trage ""x"" Min/Std. einen Plug und stecke ihn anschließend ""X"" Min in den Mund";WAHR;FALSCH
